id,brand_name,latitude,longitude,status,state,city
zzw-223@8fc-g2h-q9f,DT,29.273454,-94.834596,Active,texas,galveston
222-222@96z-z2d-tn5,W,18.253878,-65.968046,Active,puerto rico,gurabo
223-222@8fx-644-j35,FD,25.448054,-80.491652,Active,florida,homestead
225-224@96m-hnz-3qz,BCF,17.995171,-66.638999,Active,puerto rico,ponce
zzy-229@96z-yts-z2k,HD,18.240337,-66.039263,Active,puerto rico,caguas
zzw-222@63d-789-f4v,L,40.449917,-80.170996,Active,pennsylvania,pittsburgh
222-222@63h-n22-kvf,L,40.565895,-84.175508,Active,ohio,wapakoneta
222-222@8g9-ghp-d7q,L,36.130286,-83.466802,Active,tennessee,jefferson city
222-222@63v-7hm-435,L,41.040216,-81.695178,Active,ohio,wadsworth
zzw-222@63v-8qw-f75,L,41.407338,-82.659109,Active,ohio,sandusky
222-222@8g9-x9c-k9f,L,36.343366,-84.169972,Active,tennessee,la follette
222-222@63j-5z5-mc5,L,39.830479,-84.818578,Active,indiana,richmond
zzw-222@64v-wq9-bkz,L,44.094605,-69.142733,Active,maine,thomaston
zzw-222@5s6-d7f-cef,L,41.792143,-86.248757,Active,michigan,niles
222-222@63v-4vf-3t9,L,42.615791,-83.307756,Active,michigan,bloomfield hills
zzw-222@63q-s7z-q9f,L,42.990675,-78.699477,Active,new york,buffalo
225-222@63q-n5t-cwk,L,42.754975,-78.849703,Active,new york,hamburg
222-222@63j-dxj-j35,L,39.68646,-83.969515,Active,ohio,xenia
222-222@63s-ypg-7yv,L,39.826945,-76.986341,Active,pennsylvania,hanover
zzw-226@63r-67q-3kf,M,38.997145,-77.026896,Active,maryland,silver spring
226-225@5z6-3pt-rc5,SG,33.959774,-118.26851,Active,california,los angeles
zzw-222@8sx-3qx-fpv,L,29.041572,-95.456166,Active,texas,lake jackson
zzw-222@5s6-rhk-3t9,L,43.657675,-84.250829,Active,michigan,midland
222-222@8gb-kg2-j35,L,35.098228,-84.019094,Active,north carolina,murphy
222-222@8dy-v4r-djv,L,30.251254,-90.922553,Active,louisiana,gonzales
222-222@8gp-vt4-p9z,L,31.202616,-81.479876,Active,georgia,brunswick
222-222@63n-d34-cyv,L,38.191769,-83.482421,Active,kentucky,morehead
222-223@62k-p4f-xkf,L,41.936136,-71.346187,Active,massachusetts,north attleboro
222-222@5s5-j6v-zj9,L,42.820702,-86.094397,Active,michigan,holland
222-222@63v-v7n-qxq,L,42.075308,-80.18164,Active,pennsylvania,erie
222-222@8f5-2h9-f2k,L,30.280059,-89.746839,Active,louisiana,slidell
222-223@62k-n5d-sqz,L,41.369558,-72.159048,Active,connecticut,waterford
222-222@62k-vmw-68v,L,43.838397,-70.449116,Active,maine,windham
222-222@8gd-h53-zpv,L,32.272978,-81.231346,Active,georgia,rincon
222-222@63d-6mw-qpv,L,40.137635,-79.849722,Active,pennsylvania,belle vernon
zzw-222@63v-byv-mff,L,41.23701,-81.349337,Active,ohio,streetsboro
222-222@646-4dt-wx5,L,33.829439,-78.674458,Active,south carolina,north myrtle beach
zzw-222@5s5-jvk-xdv,L,42.879811,-85.773415,Active,michigan,grandville
222-222@63t-czj-cqz,L,41.682389,-81.293819,Active,ohio,mentor
222-222@5sb-93c-3bk,L,42.362654,-89.030321,Active,illinois,machesney park
zzw-222@665-995-dy9,L,43.211372,-77.470938,Active,new york,webster
222-222@63t-mmj-dd9,L,41.230603,-80.452164,Active,pennsylvania,hermitage
222-222@8sx-y3q-mtv,L,27.923859,-97.179289,Active,texas,aransas pass
222-222@62k-9dz-rtv,L,42.237454,-72.276231,Active,massachusetts,ware
zzw-222@62k-nyp-kcq,L,42.029223,-71.308598,Active,massachusetts,plainville
zzw-222@63q-6fq-bc5,L,42.573197,-76.214673,Active,new york,cortland
222-222@5s6-nt3-hdv,L,43.686133,-85.515108,Active,michigan,big rapids
zzw-222@63h-kcz-qs5,L,40.329519,-83.764044,Active,ohio,bellefontaine
222-222@662-6j2-z2k,L,44.703866,-75.460063,Active,new york,ogdensburg
222-222@63k-vrr-ks5,L,37.826243,-82.821781,Active,kentucky,paintsville
zzw-222@63p-nd9-xt9,L,41.8782,-79.153025,Active,pennsylvania,warren
zzw-222@63s-jzg-whq,L,38.746779,-75.171115,Active,delaware,lewes
222-222@646-86f-x89,L,33.953789,-78.045575,Active,north carolina,southport
222-222@65z-67s-87q,L,43.464358,-76.473106,Active,new york,oswego
zzw-222@63p-bn4-pjv,L,40.70909,-76.189752,Active,pennsylvania,pottsville
zzw-222@63d-5hx-yqf,L,40.688586,-80.080221,Active,pennsylvania,cranberry township
222-222@5pv-8sj-3qz,L,39.947238,-86.341909,Active,indiana,zionsville
223-222@8g8-wrk-2x5,L,35.980026,-85.04103,Active,tennessee,crossville
zzw-222@5s3-nwz-6c5,L,44.730122,-85.642143,Active,michigan,traverse city
222-222@5s7-2h7-87q,L,42.6592,-83.454759,Active,michigan,white lake
222-223@63c-6q8-z75,L,40.190106,-80.223885,Active,pennsylvania,washington
zzw-222@63n-zw7-j35,L,41.767936,-77.071807,Active,pennsylvania,mansfield
zzw-222@646-qs2-r49,L,34.693233,-77.064311,Active,north carolina,swansboro
222-222@64g-72g-sqz,L,36.026662,-75.670666,Active,north carolina,kill devil hills
zzw-222@8dy-5tb-zzz,L,29.97035,-92.103646,Active,louisiana,abbeville
222-222@5p7-gp4-b49,L,45.017224,-93.485227,Active,minnesota,minneapolis
zzw-222@8g9-396-jy9,L,35.466197,-85.040971,Active,tennessee,dayton
zzw-222@5pb-v9n-vs5,L,43.954783,-92.459535,Active,minnesota,rochester
zzw-222@665-9fr-4sq,L,43.214181,-77.712925,Active,new york,rochester
222-222@63m-8bn-b49,L,37.104486,-84.086833,Active,kentucky,london
222-222@5rp-kt8-kfz,L,47.886413,-97.085531,Active,north dakota,grand forks
222-222@8gb-fx6-vxq,L,35.392786,-86.244231,Active,tennessee,tullahoma
zzw-222@63v-c6g-7qz,L,41.139796,-81.639762,Active,ohio,akron
222-222@63m-2mj-zj9,L,36.351846,-82.242409,Active,tennessee,elizabethton
222-222@8gm-nqb-52k,L,34.663076,-86.487358,Active,alabama,owens cross roads
zzw-222@8t8-4x8-92k,L,25.951785,-97.510687,Active,texas,brownsville
zzw-222@62j-wnz-54v,L,43.031548,-71.069078,Active,new hampshire,epping
222-222@8fc-8pf-54v,L,29.471269,-95.087082,Active,texas,league city
222-222@63v-czz-cwk,L,41.469794,-82.016883,Active,ohio,avon
222-222@5s6-dz4-hyv,L,41.363177,-86.321542,Active,indiana,plymouth
222-222@62j-q5n-389,L,42.885676,-70.873227,Active,new hampshire,seabrook
zzw-222@8g9-tf8-ndv,L,36.972116,-84.099692,Active,kentucky,corbin
zzw-222@5sb-f3d-zzz,L,42.630815,-88.607419,Active,wisconsin,delavan
222-222@63d-vqp-d5f,L,40.873927,-81.434861,Active,ohio,north canton
223-222@8dy-g88-d7q,L,30.529713,-92.069727,Active,louisiana,opelousas
